target,elo_diff,elo_hard_diff,rank_diff,rank_points_diff,elo_clay_diff,elo_grass_diff,age_diff,height_diff
0,-159.66591114506173,-105.99501897894856,97.0,-665.0,-103.25298586251574,13.377609034351508,-10.5,-2.0
1,261.1746894017124,153.61519905075147,-568.0,739.0,36.4011113084116,191.32928283039973,15.099999999999998,-13.0
0,-53.979099278756166,-40.27700824465819,74.0,-309.0,-117.71675064310057,-48.39695209390675,0.8000000000000007,-5.0
0,-173.45492557813827,-136.49150470419204,8.0,-165.0,-206.99283366860618,-119.6363215478907,2.1000000000000014,-13.0
0,-102.12757054006238,-151.69040411666083,20.0,-543.0,9.411089893919097,-114.50907433514408,4.099999999999998,-0.0
1,27.86133271896506,58.41523057516292,-23.0,59.0,1.8664623415279493,8.220009610918396,-2.0,18.0
0,31.534048695646334,30.659954716353695,-26.0,386.0,-12.783602602991095,134.9805728598501,3.6999999999999993,-9.0
0,-141.54921831884394,-49.586508488363734,39.0,-589.0,-97.17027324679657,-157.0759488257936,-6.200000000000003,-5.0
0,-124.55418767130891,-52.217287123499545,20.0,-221.0,-22.708615444855923,-96.9359681377905,-5.599999999999998,-0.0
1,-63.623255317762414,-54.66642309254985,72.0,-242.0,36.79155850418488,-15.273088048189265,4.5,8.0
0,-19.22133959989992,-74.3020172470192,-17.0,284.0,-5.584713405466573,-113.09223038433265,4.800000000000001,-13.0
0,94.9998490282369,132.09453190774343,-15.0,186.0,-22.14385649912515,173.9067968464435,-2.1000000000000014,4.0
0,-343.5971406382696,-336.3250276946201,33.0,-3115.0,-248.8499486878984,-455.343002900358,0.10000000000000142,-0.0
0,-136.68751343081112,-121.74843819565717,25.0,-391.0,-138.92379078036356,-35.11575978198425,-1.3000000000000007,-8.0
1,-50.60263810846254,-37.3726393966524,21.0,-37.0,-50.60263810846254,-57.66344287002198,3.400000000000002,5.0
0,-253.04464789653298,-204.47327255869914,51.0,-1209.0,-57.5266852963382,-62.606605934438676,2.0,10.0
1,-52.4446104409019,-97.98786683127764,43.0,-1135.0,-79.69090538763135,145.3041664713901,8.799999999999997,2.0
1,358.44247175087276,383.20736773711496,-28.0,3030.0,255.9045486842465,355.2402167661437,5.4999999999999964,-3.0
1,-40.340581889704254,-30.929506636348833,-20.0,785.0,-57.05659763698441,-143.4456439408791,-1.1999999999999993,-20.0
0,-262.88974428863503,-127.91348520920701,87.0,-411.0,-77.43134211128313,-180.94443796548353,-9.599999999999998,11.0
1,135.02406359812426,71.71675751758994,-138.0,868.0,91.20808187599027,85.55926386816327,0.6999999999999993,-5.0
0,303.4713194469364,349.4875541550912,-54.0,3425.0,284.21399655626806,205.83473417350297,-0.5,5.0
1,-13.998825182833116,35.003610139109924,14.0,-390.0,60.924852584590326,140.78604547125315,2.599999999999998,7.0
1,-258.2774349796646,-189.88964107889524,128.0,-1421.0,-197.96072990132825,-68.69265189301677,-5.800000000000001,8.0
1,13.059405318942481,19.513457844927416,32.0,-530.0,-56.517948443439536,40.384320188834636,0.5999999999999943,-8.0
1,-80.56385440427857,3.3100495095579845,-16.0,257.0,51.58689685435888,-91.76273561996004,-5.099999999999998,-3.0
1,355.2585008796193,353.7532208769287,-55.0,3431.0,315.993802631795,470.0926307479474,3.9999999999999964,-9.0
1,-4.684528807679271,-8.604402698235617,-175.0,403.0,-39.7855142778692,34.14684166454481,-3.700000000000003,-2.0
1,390.22576410321426,349.5733061065416,-71.0,3093.0,333.214150957421,-9.322674490775853,-3.8000000000000007,5.0
1,-121.3459806787896,-89.79371507751398,-8.0,56.0,33.88477327987948,52.476564263909495,2.599999999999998,-10.0
0,86.90032681393768,75.32522256573202,229.0,-475.0,41.75672122659853,86.90032681393768,4.700000000000003,-25.0
0,-55.08061682760217,-59.70532863140534,31.0,-291.0,49.0682973918465,83.46383588702565,-4.100000000000001,3.0
1,135.01430627893774,20.161609511911593,-31.0,182.0,91.94199507395456,51.46983234059371,3.6999999999999993,0.0
1,137.00846508828272,98.15251259382899,-344.0,1109.0,-39.379879060793655,-12.322749674890474,4.600000000000001,5.0
1,182.0115251645086,98.32929115542333,-131.0,799.0,141.6149825905352,-103.14700162377903,3.599999999999998,16.0
0,-48.310238750657845,-38.061804866309785,24.0,-130.0,41.67911353088448,-60.72004864845667,-4.300000000000001,-5.0
1,1.9016908347521166,-19.588265724321218,131.0,-481.0,-34.47629792323505,1.9016908347521166,-1.0,-3.0
0,133.53305729034923,23.964818209214172,-212.0,640.0,-29.411863407946157,58.973053693325255,-2.400000000000002,-0.0
0,39.1026604631536,37.5652344558232,-436.0,534.0,19.018338645639687,-8.746205447950388,9.7,-8.0
0,-43.18605177501331,11.73674890804341,7.0,-25.0,53.88968757334192,-125.23172457853775,-4.800000000000001,10.0
0,-87.70201729728433,-48.6619234898626,-12.0,235.0,-70.20748698873422,48.50865003601939,-3.099999999999998,5.0
0,-642.7382480346969,-532.8407330704629,46.0,-12074.0,-567.0191151242591,-358.2050707060721,0.8999999999999986,8.0
1,293.08627686050954,270.42996400044785,-44.0,2822.0,258.11041754599546,125.41435992317543,-1.3000000000000007,-2.0
1,-130.8556396572826,-89.69106653250606,14.0,-202.0,-138.5289877132459,28.468399970077826,2.3000000000000007,-6.0
1,-190.22005981391203,10.125420223985202,179.0,-1672.0,-269.57532095870783,63.14151744569676,-5.200000000000003,7.0
1,178.53738801465693,71.01750195631803,-21.0,227.0,125.68560229592072,-33.0360559099056,1.3000000000000007,10.0
1,280.3593700920935,204.89199463881346,-24.0,2511.0,334.054462951862,141.58418401215454,5.199999999999999,-10.0
0,-37.43802468257263,-49.38120597936904,163.0,-961.0,32.113277286650145,137.31358847213778,-2.1000000000000014,-8.0
1,390.75653057905924,279.9659745339018,-87.0,3157.0,304.06791351160564,81.17578230929439,4.300000000000001,2.0
1,-356.4019154372552,-219.9480915988022,58.0,-1464.0,-263.0811550967521,-168.7200133925985,-2.8000000000000007,-8.0
0,-211.2852400106326,-108.50682082872436,33.0,-292.0,-68.15086965664614,-39.92130632327144,-9.600000000000001,13.0
1,-8.633916966509105,34.23718794534443,-36.0,577.0,20.11571029886113,-41.14605450721524,-5.899999999999999,8.0
0,-0.3204249546445226,-17.70117142300751,149.0,-382.0,25.36983612313361,-17.94808007278266,-2.6999999999999993,4.0
1,220.14750159944197,72.13975980472401,-488.0,1045.0,147.12995692625577,-73.32010763793505,8.599999999999998,3.0
0,12.680967531989836,7.311432745425236,94.0,-351.0,15.297775403847254,-48.91596651684813,2.299999999999997,5.0
1,49.7620600259404,59.03126391854448,-5.0,36.0,-28.192293763004045,142.97375476046932,3.3000000000000007,6.0
1,264.63128901282585,228.8459322673657,-126.0,1047.0,93.21985686987091,-34.911451890433,1.6999999999999993,15.0
0,-280.6769505623449,-218.7437594332364,54.0,-4975.0,-359.8732676566399,-182.3141723635149,-6.599999999999998,5.0
0,16.754302960270707,100.65512522692848,-1.0,54.0,-8.507330630993465,84.16826620718598,6.100000000000001,-18.0
0,-224.1454447329445,-203.87548278581812,38.0,-527.0,-131.10322552023104,-120.0497484437094,-1.3000000000000007,-5.0
0,-348.46908258169515,-300.95211785165475,329.0,-3173.0,-198.57853273497972,-140.09347181675867,-7.800000000000001,-3.0
0,-550.2412314808273,-446.7502660854552,2125.0,-5789.0,-258.3695582057253,-444.17839138478394,-6.800000000000001,-6.0
0,-261.0118559113107,-234.1682138558167,41.0,-541.0,-203.04037009417516,-198.26120387561423,2.1999999999999957,-5.0
0,149.6240191586037,216.1631413624125,-31.0,298.0,-58.51196122501824,178.97115231297994,-7.699999999999999,-13.0
0,-212.55194884965204,-223.5353367857947,26.0,-579.0,-123.8667445224321,-367.8598633180909,-2.3000000000000007,2.0
1,-33.234632642428096,-14.24418653132625,23.0,-89.0,4.319570790986745,-33.234632642428096,4.099999999999998,3.0
1,-261.56217686837795,-205.2496543821635,78.0,-684.0,1.8929844761512413,-107.8738731727799,0.10000000000000142,13.0
0,-192.33913373525388,-161.64712424389586,26.0,-335.0,-186.34629629505093,-144.1869121656771,-0.3999999999999986,-5.0
1,279.3330472717737,236.41057528776378,-48.0,707.0,117.63077897209337,-78.25887852899518,-6.300000000000001,-1.0
1,459.70323543630184,319.5022069432621,-30.0,11800.0,442.5379271436336,312.07341083564097,0.1999999999999993,-8.0
1,676.5975607638466,535.4035433085144,-73.0,12367.0,622.1210108599237,400.81992160201776,-0.10000000000000142,5.0
1,-201.27492307151783,-192.2050945942242,50.0,-599.0,-119.12667354824384,-204.33099158269056,2.299999999999997,10.0
0,187.55406871175978,191.84868932714267,-33.0,141.0,-24.18624465257153,89.08128430437728,5.799999999999997,12.0
1,-246.19097891592082,-216.15084307260486,71.0,-3533.0,-291.1990067843567,-93.16584807555637,6.599999999999998,12.0
0,-47.82534669462143,-93.44396995905413,9.0,-165.0,-63.64497176558416,-21.611699860712633,2.8999999999999986,-3.0
1,-247.88422933394895,-167.57203457805758,140.0,-1204.0,-187.62794018061845,-190.84754268472284,-5.800000000000001,10.0
1,116.8961528235327,153.32119625016435,-23.0,394.0,127.74137790180725,92.73628718003897,0.9000000000000021,-3.0
1,679.8545194938245,524.193318780292,-161.0,12709.0,626.2818763182522,382.7441693070655,3.1000000000000014,-3.0
0,-23.46221073220977,-51.482414690032556,-51.0,185.0,5.46095060395578,-45.983009859355434,4.600000000000001,8.0
1,437.8355620263494,344.14274382873054,-23.0,11637.0,516.2555161861826,473.7391458416905,2.1999999999999993,-5.0
0,279.4031488373928,284.61655480245963,-51.0,4964.0,380.9651498804219,181.03950446826798,5.300000000000001,-21.0
1,-98.54515297239391,-100.16121827787015,22.0,-2070.0,-35.04336778301217,-29.235334757760256,-0.1999999999999993,10.0
