Predictive Coding Final Training Log
Hyperparameters: epochs=100, batch_size=128, lr=0.0889
================================================================================
Epoch 001/100 | Train Energy: 0.1100 | Train Loss (BCE): 0.6108 | Train Acc: 0.6609 | Val Acc: 0.6610
Epoch 002/100 | Train Energy: 0.1054 | Train Loss (BCE): 0.6075 | Train Acc: 0.6643 | Val Acc: 0.6605
Epoch 003/100 | Train Energy: 0.1049 | Train Loss (BCE): 0.6067 | Train Acc: 0.6654 | Val Acc: 0.6622
Epoch 004/100 | Train Energy: 0.1049 | Train Loss (BCE): 0.6063 | Train Acc: 0.6658 | Val Acc: 0.6635
Epoch 005/100 | Train Energy: 0.1049 | Train Loss (BCE): 0.6059 | Train Acc: 0.6658 | Val Acc: 0.6644
Epoch 006/100 | Train Energy: 0.1048 | Train Loss (BCE): 0.6060 | Train Acc: 0.6662 | Val Acc: 0.6648
Epoch 007/100 | Train Energy: 0.1047 | Train Loss (BCE): 0.6056 | Train Acc: 0.6656 | Val Acc: 0.6627
Epoch 008/100 | Train Energy: 0.1047 | Train Loss (BCE): 0.6054 | Train Acc: 0.6668 | Val Acc: 0.6657
Epoch 009/100 | Train Energy: 0.1046 | Train Loss (BCE): 0.6053 | Train Acc: 0.6661 | Val Acc: 0.6622
Epoch 010/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6053 | Train Acc: 0.6671 | Val Acc: 0.6640
Epoch 011/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6051 | Train Acc: 0.6661 | Val Acc: 0.6661
Epoch 012/100 | Train Energy: 0.1047 | Train Loss (BCE): 0.6051 | Train Acc: 0.6666 | Val Acc: 0.6691
Epoch 013/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6048 | Train Acc: 0.6665 | Val Acc: 0.6644
Epoch 014/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6049 | Train Acc: 0.6666 | Val Acc: 0.6700
Epoch 015/100 | Train Energy: 0.1046 | Train Loss (BCE): 0.6046 | Train Acc: 0.6668 | Val Acc: 0.6635
Epoch 016/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6045 | Train Acc: 0.6662 | Val Acc: 0.6652
Epoch 017/100 | Train Energy: 0.1046 | Train Loss (BCE): 0.6047 | Train Acc: 0.6669 | Val Acc: 0.6665
Epoch 018/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6045 | Train Acc: 0.6668 | Val Acc: 0.6635
Epoch 019/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6045 | Train Acc: 0.6662 | Val Acc: 0.6665
Epoch 020/100 | Train Energy: 0.1046 | Train Loss (BCE): 0.6045 | Train Acc: 0.6670 | Val Acc: 0.6652
Epoch 021/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6042 | Train Acc: 0.6665 | Val Acc: 0.6640
Epoch 022/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6042 | Train Acc: 0.6668 | Val Acc: 0.6652
Epoch 023/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6041 | Train Acc: 0.6658 | Val Acc: 0.6631
Epoch 024/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6042 | Train Acc: 0.6671 | Val Acc: 0.6627
Epoch 025/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6042 | Train Acc: 0.6669 | Val Acc: 0.6652
Epoch 026/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6043 | Train Acc: 0.6675 | Val Acc: 0.6644
Epoch 027/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6041 | Train Acc: 0.6670 | Val Acc: 0.6640
Epoch 028/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6039 | Train Acc: 0.6668 | Val Acc: 0.6652
Epoch 029/100 | Train Energy: 0.1045 | Train Loss (BCE): 0.6040 | Train Acc: 0.6666 | Val Acc: 0.6648
Epoch 030/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6039 | Train Acc: 0.6666 | Val Acc: 0.6601
Epoch 031/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6038 | Train Acc: 0.6667 | Val Acc: 0.6644
Epoch 032/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6038 | Train Acc: 0.6665 | Val Acc: 0.6610
Epoch 033/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6037 | Train Acc: 0.6669 | Val Acc: 0.6648
Epoch 034/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6037 | Train Acc: 0.6666 | Val Acc: 0.6661
Epoch 035/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6037 | Train Acc: 0.6672 | Val Acc: 0.6635
Epoch 036/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6037 | Train Acc: 0.6675 | Val Acc: 0.6627
Epoch 037/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6038 | Train Acc: 0.6672 | Val Acc: 0.6622
Epoch 038/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6037 | Train Acc: 0.6667 | Val Acc: 0.6631
Epoch 039/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6037 | Train Acc: 0.6668 | Val Acc: 0.6597
Epoch 040/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6036 | Train Acc: 0.6670 | Val Acc: 0.6631
Epoch 041/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6036 | Train Acc: 0.6663 | Val Acc: 0.6635
Epoch 042/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6036 | Train Acc: 0.6669 | Val Acc: 0.6605
Epoch 043/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6035 | Train Acc: 0.6663 | Val Acc: 0.6614
Epoch 044/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6034 | Train Acc: 0.6668 | Val Acc: 0.6640
Epoch 045/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6033 | Train Acc: 0.6671 | Val Acc: 0.6631
Epoch 046/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6034 | Train Acc: 0.6673 | Val Acc: 0.6627
Epoch 047/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6036 | Train Acc: 0.6671 | Val Acc: 0.6644
Epoch 048/100 | Train Energy: 0.1044 | Train Loss (BCE): 0.6033 | Train Acc: 0.6668 | Val Acc: 0.6627
Epoch 049/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6033 | Train Acc: 0.6662 | Val Acc: 0.6601
Epoch 050/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6037 | Train Acc: 0.6672 | Val Acc: 0.6678
Epoch 051/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6034 | Train Acc: 0.6673 | Val Acc: 0.6644
Epoch 052/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6032 | Train Acc: 0.6667 | Val Acc: 0.6644
Epoch 053/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6031 | Train Acc: 0.6665 | Val Acc: 0.6627
Epoch 054/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6032 | Train Acc: 0.6668 | Val Acc: 0.6648
Epoch 055/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6031 | Train Acc: 0.6672 | Val Acc: 0.6635
Epoch 056/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6031 | Train Acc: 0.6670 | Val Acc: 0.6665
Epoch 057/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6030 | Train Acc: 0.6671 | Val Acc: 0.6635
Epoch 058/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6032 | Train Acc: 0.6665 | Val Acc: 0.6652
Epoch 059/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6032 | Train Acc: 0.6674 | Val Acc: 0.6657
Epoch 060/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6030 | Train Acc: 0.6672 | Val Acc: 0.6648
Epoch 061/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6031 | Train Acc: 0.6675 | Val Acc: 0.6644
Epoch 062/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6030 | Train Acc: 0.6679 | Val Acc: 0.6631
Epoch 063/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6031 | Train Acc: 0.6673 | Val Acc: 0.6627
Epoch 064/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6031 | Train Acc: 0.6681 | Val Acc: 0.6614
Epoch 065/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6030 | Train Acc: 0.6672 | Val Acc: 0.6622
Epoch 066/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6030 | Train Acc: 0.6673 | Val Acc: 0.6610
Epoch 067/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6031 | Train Acc: 0.6677 | Val Acc: 0.6622
Epoch 068/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6028 | Train Acc: 0.6667 | Val Acc: 0.6635
Epoch 069/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6029 | Train Acc: 0.6671 | Val Acc: 0.6622
Epoch 070/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6029 | Train Acc: 0.6671 | Val Acc: 0.6665
Epoch 071/100 | Train Energy: 0.1043 | Train Loss (BCE): 0.6031 | Train Acc: 0.6670 | Val Acc: 0.6605
Epoch 072/100 | Train Energy: 0.1040 | Train Loss (BCE): 0.6028 | Train Acc: 0.6672 | Val Acc: 0.6644
Epoch 073/100 | Train Energy: 0.1042 | Train Loss (BCE): 0.6028 | Train Acc: 0.6676 | Val Acc: 0.6614
Epoch 074/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6029 | Train Acc: 0.6674 | Val Acc: 0.6627
Epoch 075/100 | Train Energy: 0.1040 | Train Loss (BCE): 0.6027 | Train Acc: 0.6672 | Val Acc: 0.6622
Epoch 076/100 | Train Energy: 0.1040 | Train Loss (BCE): 0.6028 | Train Acc: 0.6671 | Val Acc: 0.6610
Epoch 077/100 | Train Energy: 0.1040 | Train Loss (BCE): 0.6028 | Train Acc: 0.6673 | Val Acc: 0.6614
Epoch 078/100 | Train Energy: 0.1040 | Train Loss (BCE): 0.6027 | Train Acc: 0.6669 | Val Acc: 0.6622
Epoch 079/100 | Train Energy: 0.1041 | Train Loss (BCE): 0.6027 | Train Acc: 0.6676 | Val Acc: 0.6605
