Predictive Coding Final Training Log
Hyperparameters: epochs=100, batch_size=64, lr=0.0129
================================================================================
Epoch 001/100 | Train Energy: 0.2398 | Train Loss (BCE): 0.6243 | Train Acc: 0.6510 | Val Acc: 0.6550
Epoch 002/100 | Train Energy: 0.2288 | Train Loss (BCE): 0.6219 | Train Acc: 0.6546 | Val Acc: 0.6652
Epoch 003/100 | Train Energy: 0.2226 | Train Loss (BCE): 0.6189 | Train Acc: 0.6565 | Val Acc: 0.6661
Epoch 004/100 | Train Energy: 0.2171 | Train Loss (BCE): 0.6194 | Train Acc: 0.6557 | Val Acc: 0.6687
Epoch 005/100 | Train Energy: 0.2105 | Train Loss (BCE): 0.6191 | Train Acc: 0.6553 | Val Acc: 0.6635
Epoch 006/100 | Train Energy: 0.2032 | Train Loss (BCE): 0.6204 | Train Acc: 0.6537 | Val Acc: 0.6575
Epoch 007/100 | Train Energy: 0.1954 | Train Loss (BCE): 0.6229 | Train Acc: 0.6527 | Val Acc: 0.6610
Epoch 008/100 | Train Energy: 0.1877 | Train Loss (BCE): 0.6238 | Train Acc: 0.6542 | Val Acc: 0.6597
Epoch 009/100 | Train Energy: 0.1809 | Train Loss (BCE): 0.6242 | Train Acc: 0.6558 | Val Acc: 0.6567
Epoch 010/100 | Train Energy: 0.1743 | Train Loss (BCE): 0.6273 | Train Acc: 0.6546 | Val Acc: 0.6605
Epoch 011/100 | Train Energy: 0.1655 | Train Loss (BCE): 0.6249 | Train Acc: 0.6543 | Val Acc: 0.6571
Epoch 012/100 | Train Energy: 0.1560 | Train Loss (BCE): 0.6247 | Train Acc: 0.6532 | Val Acc: 0.6532
Epoch 013/100 | Train Energy: 0.1454 | Train Loss (BCE): 0.6218 | Train Acc: 0.6539 | Val Acc: 0.6515
Epoch 014/100 | Train Energy: 0.1358 | Train Loss (BCE): 0.6236 | Train Acc: 0.6516 | Val Acc: 0.6494
Epoch 015/100 | Train Energy: 0.1264 | Train Loss (BCE): 0.6223 | Train Acc: 0.6519 | Val Acc: 0.6477
