Predictive Coding Final Training Log
Hyperparameters: epochs=50, batch_size=64, lr=0.0994
================================================================================
Epoch 001/50 | Train Energy: 0.1062 | Train Loss (BCE): 0.6093 | Train Acc: 0.6610
Epoch 002/50 | Train Energy: 0.1037 | Train Loss (BCE): 0.6083 | Train Acc: 0.6628
Epoch 003/50 | Train Energy: 0.1034 | Train Loss (BCE): 0.6080 | Train Acc: 0.6637
Epoch 004/50 | Train Energy: 0.1031 | Train Loss (BCE): 0.6079 | Train Acc: 0.6630
Epoch 005/50 | Train Energy: 0.1030 | Train Loss (BCE): 0.6077 | Train Acc: 0.6636
Epoch 006/50 | Train Energy: 0.1027 | Train Loss (BCE): 0.6075 | Train Acc: 0.6634
Epoch 007/50 | Train Energy: 0.1024 | Train Loss (BCE): 0.6076 | Train Acc: 0.6639
Epoch 008/50 | Train Energy: 0.1021 | Train Loss (BCE): 0.6076 | Train Acc: 0.6631
Epoch 009/50 | Train Energy: 0.1019 | Train Loss (BCE): 0.6076 | Train Acc: 0.6618
Epoch 010/50 | Train Energy: 0.1015 | Train Loss (BCE): 0.6075 | Train Acc: 0.6621
Epoch 011/50 | Train Energy: 0.1012 | Train Loss (BCE): 0.6073 | Train Acc: 0.6627
Epoch 012/50 | Train Energy: 0.1008 | Train Loss (BCE): 0.6076 | Train Acc: 0.6637
Epoch 013/50 | Train Energy: 0.1004 | Train Loss (BCE): 0.6069 | Train Acc: 0.6633
Epoch 014/50 | Train Energy: 0.0999 | Train Loss (BCE): 0.6070 | Train Acc: 0.6638
Epoch 015/50 | Train Energy: 0.0995 | Train Loss (BCE): 0.6070 | Train Acc: 0.6620
Epoch 016/50 | Train Energy: 0.0989 | Train Loss (BCE): 0.6073 | Train Acc: 0.6627
Epoch 017/50 | Train Energy: 0.0983 | Train Loss (BCE): 0.6069 | Train Acc: 0.6640
Epoch 018/50 | Train Energy: 0.0977 | Train Loss (BCE): 0.6070 | Train Acc: 0.6635
Epoch 019/50 | Train Energy: 0.0970 | Train Loss (BCE): 0.6075 | Train Acc: 0.6624
Epoch 020/50 | Train Energy: 0.0963 | Train Loss (BCE): 0.6074 | Train Acc: 0.6627
Epoch 021/50 | Train Energy: 0.0955 | Train Loss (BCE): 0.6076 | Train Acc: 0.6629
Epoch 022/50 | Train Energy: 0.0947 | Train Loss (BCE): 0.6074 | Train Acc: 0.6630
Epoch 023/50 | Train Energy: 0.0938 | Train Loss (BCE): 0.6081 | Train Acc: 0.6616
Epoch 024/50 | Train Energy: 0.0928 | Train Loss (BCE): 0.6089 | Train Acc: 0.6608
Epoch 025/50 | Train Energy: 0.0917 | Train Loss (BCE): 0.6085 | Train Acc: 0.6615
Epoch 026/50 | Train Energy: 0.0906 | Train Loss (BCE): 0.6085 | Train Acc: 0.6614
Epoch 027/50 | Train Energy: 0.0895 | Train Loss (BCE): 0.6101 | Train Acc: 0.6593
Epoch 028/50 | Train Energy: 0.0882 | Train Loss (BCE): 0.6098 | Train Acc: 0.6609
Epoch 029/50 | Train Energy: 0.0869 | Train Loss (BCE): 0.6095 | Train Acc: 0.6607
Epoch 030/50 | Train Energy: 0.0855 | Train Loss (BCE): 0.6102 | Train Acc: 0.6614
Epoch 031/50 | Train Energy: 0.0842 | Train Loss (BCE): 0.6106 | Train Acc: 0.6592
Epoch 032/50 | Train Energy: 0.0825 | Train Loss (BCE): 0.6113 | Train Acc: 0.6594
Epoch 033/50 | Train Energy: 0.0810 | Train Loss (BCE): 0.6139 | Train Acc: 0.6545
Epoch 034/50 | Train Energy: 0.0793 | Train Loss (BCE): 0.6118 | Train Acc: 0.6597
Epoch 035/50 | Train Energy: 0.0777 | Train Loss (BCE): 0.6132 | Train Acc: 0.6569
Epoch 036/50 | Train Energy: 0.0758 | Train Loss (BCE): 0.6139 | Train Acc: 0.6581
Epoch 037/50 | Train Energy: 0.0740 | Train Loss (BCE): 0.6141 | Train Acc: 0.6598
Epoch 038/50 | Train Energy: 0.0722 | Train Loss (BCE): 0.6151 | Train Acc: 0.6553
Epoch 039/50 | Train Energy: 0.0701 | Train Loss (BCE): 0.6143 | Train Acc: 0.6612
Epoch 040/50 | Train Energy: 0.0682 | Train Loss (BCE): 0.6159 | Train Acc: 0.6551
Epoch 041/50 | Train Energy: 0.0662 | Train Loss (BCE): 0.6168 | Train Acc: 0.6602
Epoch 042/50 | Train Energy: 0.0641 | Train Loss (BCE): 0.6159 | Train Acc: 0.6595
Epoch 043/50 | Train Energy: 0.0620 | Train Loss (BCE): 0.6171 | Train Acc: 0.6591
Epoch 044/50 | Train Energy: 0.0600 | Train Loss (BCE): 0.6178 | Train Acc: 0.6546
Epoch 045/50 | Train Energy: 0.0579 | Train Loss (BCE): 0.6203 | Train Acc: 0.6496
Epoch 046/50 | Train Energy: 0.0558 | Train Loss (BCE): 0.6183 | Train Acc: 0.6533
Epoch 047/50 | Train Energy: 0.0538 | Train Loss (BCE): 0.6231 | Train Acc: 0.6458
Epoch 048/50 | Train Energy: 0.0517 | Train Loss (BCE): 0.6179 | Train Acc: 0.6545
Epoch 049/50 | Train Energy: 0.0498 | Train Loss (BCE): 0.6178 | Train Acc: 0.6549
Epoch 050/50 | Train Energy: 0.0479 | Train Loss (BCE): 0.6198 | Train Acc: 0.6531
================================================================================
Best Train Acc: 0.6640 at epoch 17
